Regiao	UF	Extensao	Pop	Densidade
Norte	RO	237576.167	1453756	6.12
Norte	AC	164165.250	653385	3.98
Norte	AM	1559161.810	3221940	2.07
Norte	RR	224298.980	395725	1.76
Norte	PA	1247689.515	7065573	5.66
Norte	AP	142814.585	587311	4.11
Norte	TO	277620.914	1243627	4.48
Nordeste	MA	331983.293	6118995	18.43
Nordeste	PI	251529.186	3032435	12.06
Nordeste	CE	148825.602	8185250	55.00
Nordeste	RN	52796.791	3013740	57.08
Nordeste	PB	56439.838	3641397	64.52
Nordeste	PE	98311.616	8486638	86.32
Nordeste	AL	27767.661	3037231	109.38
Nordeste	SE	21910.348	1939426	88.52
Nordeste	BA	564692.669	14080670	24.94
Sudeste	MG	586528.293	19273533	32.86
Sudeste	ES	46077.519	3351669	72.74
Sudeste	RJ	43696.054	15420450	352.90
Sudeste	SP	248209.426	39827690	160.46
Sul	PR	199314.850	10284503	51.60
Sul	SC	95346.181	5866487	61.53
Sul	RS	281748.583	10582287	37.56
Centro-Oeste	MS	357124.962	2265813	6.34
Centro-Oeste	MT	903357.908	2854642	3.16
Centro-Oeste	GO	340086.698	5647035	16.60
Centro-Oeste	DF	5801.937	2455903	423.29
