Classe	Sobrevivente	Sexo	Idade	Nome
3	0	H	33	Markun,Mr.Johann
1	1	M	37	Minahan,Mrs.WilliamEdward(LillianEThorpe)
3	0	H	27	Foley,Mr.Joseph
1	1	M	37	Fleming,Miss.Margaret
3	1	M	47	Wilkes,Mrs.James(EllenNeeds)
2	0	H	28	Harper,Rev.John
3	1	M	22	Bradley,Miss.BridgetDelia
1	1	M	24	Hays,Miss.MargaretBechstein
2	0	H	26	Nesson,Mr.Israel
3	1	H	18	Cohen,Mr.Gurshon"Gus"
3	0	H	18	Edvardsson,Mr.GustafHjalmar
2	0	H	17	Deacon,Mr.PercyWilliam
3	0	H	43	Dintcheff,Mr.Valtcho
3	0	H	27	Ware,Mr.Frederick
3	0	H	24	Celotti,Mr.Francesco
3	0	H	26	Ryan,Mr.Patrick
2	0	H	44	Harbeck,Mr.WilliamH
3	0	H	24	Carlsson,Mr.CarlRobert
3	0	H	25	Peltomaki,Mr.NikolaiJohannes
3	1	M	38	Whabee,Mrs.GeorgeJoseph(ShawneeneAbi-Saab)
1	0	H	48	Thayer,Mr.JohnBorland
1	1	M	25	Harder,Mrs.GeorgeAchilles(DorothyAnnan)
1	1	M	44	Stengel,Mrs.CharlesEmilHenry(AnnieMayMorris)
1	0	H	45	Clifford,Mr.GeorgeQuincy
3	0	M	25	Sage,Mrs.John(AnnieBullen)
2	1	H	29	Portaluppi,Mr.EmilioIlarioGiuseppe
1	0	H	17	Carrau,Mr.JosePedro
1	0	H	25	Birnbaum,Mr.Jakob
3	1	H	25	Tornquist,Mr.WilliamHenry
1	1	M	53	Appleton,Mrs.EdwardDale(CharlotteLamson)
3	0	H	43	Cook,Mr.Jacob
3	0	M	48	Ford,Mrs.Edward(MargaretAnnWatson)
2	0	H	21	Hickman,Mr.StanleyGeorge
2	0	H	26	Gavey,Mr.Lawrence
3	0	M	16	Hagardon,Miss.Kate
1	1	M	38	Cassebeer,Mrs.HenryArthurJr(EleanorGenevieveFosdick)
3	1	M	21	McCarthy,Miss.Catherine"Katie"
2	1	M	24	Herman,Miss.Kate
1	1	M	37	Young,Miss.MarieGrice
3	0	H	27	Mionoff,Mr.Stoytcho
3	1	M	20	Davison,Mrs.ThomasHenry(MaryEFinck)
3	1	M	21	Healy,Miss.Hanora"Nora"
3	1	H	32	Olsson,Mr.OscarWilhelm
3	0	H	11	Goodwin,Master.WilliamFrederick
1	1	M	51	Lines,Mrs.ErnestH(ElizabethLindseyJames)
2	1	M	48	Davies,Mrs.JohnMorgan(ElizabethAgnesMaryWhite)
1	1	M	16	Hippach,Miss.JeanGertrude
3	1	H	21	Kennedy,Mr.John
3	1	M	16	Gilnagh,Miss.Katherine"Katie"
3	0	H	26	Jardin,Mr.JoseNeto
2	0	H	21	Enander,Mr.Ingvar
3	1	M	20	Jermyn,Miss.Annie
2	1	M	22	Rugg,Miss.Emily
2	0	H	18	Bailey,Mr.PercyAndrew
3	0	H	32	Wenzel,Mr.Linhart
1	0	H	45	Chisholm,Mr.RoderickRobertCrispin
3	1	M	19	Peter,Mrs.Catherine(CatherineRizk)
2	1	H	29	PallasyCastello,Mr.Emilio
3	1	M	21	Salkjelsvik,Miss.AnnaKristine
3	0	M	26	Meanwell,Miss.(MarionOgden)
3	1	M	22	Drapkin,Miss.Jennie
3	0	M	40	Ahlin,Mrs.Johan(JohannaPersdotterLarsson)
3	0	H	26	Thomson,Mr.AlexanderMorrison
1	1	M	30	Cherry,Miss.Gladys
1	1	H	38	Rheims,Mr.GeorgeAlexanderLucien
3	1	M	9	Touma,Miss.MariaYoussef
3	0	H	40	Everett,Mr.ThomasJames
1	1	M	45	Gibson,Mrs.Leonard(PaulineCBoeson)
1	1	H	48	Anderson,Mr.Harry
3	0	H	25	Harmer,Mr.Abraham(DavidLishin)
1	0	H	62	Wright,Mr.George
2	0	M	38	Funk,Miss.AnnieClemmer
2	1	M	13	Mellinger,Miss.MadeleineViolet
1	1	H	37	Beckwith,Mr.RichardLeonard
1	0	H	46	Rosenshine,Mr.George("MrGeorgeThorne")
2	0	H	40	Faunthorpe,Mr.Harry
3	0	H	27	Wirz,Mr.Albert
2	0	H	60	Brown,Mr.ThomasWilliamSolomon
3	0	H	26	O'Connell,Mr.PatrickD
2	0	H	31	Collyer,Mr.Harvey
3	0	H	27	Slabenoff,Mr.Petco
1	1	M	54	Rothschild,Mrs.Martin(ElizabethL.Barrett)
2	1	M	34	Doling,Mrs.JohnT(AdaJuliaBone)
3	0	H	27	Matinoff,Mr.Nicola
2	0	H	19	Nicholls,Mr.JosephCharles
3	0	H	10	Rice,Master.Albert
3	0	H	14	Sage,Master.WilliamHenry
3	0	H	27	O'Connor,Mr.Patrick
3	0	H	30	Attalah,Mr.Sleiman
3	0	H	27	Rommetvedt,Mr.KnudPaust
3	1	H	21	Jansson,Mr.CarlOlof
1	1	M	45	Greenfield,Mrs.LeoDavid(BlancheStrouse)
1	1	M	48	DuffGordon,Lady.(LucilleChristianaSutherland)("MrsMorgan")
3	0	M	6	Andersson,Miss.EbbaIrisAlfrida
3	0	H	26	Petroff,Mr.Pastcho("Pentcho")
3	1	M	21	Shine,Miss.EllenNatalia
3	1	M	21	Mockler,Miss.HelenMary"Ellie"
3	1	H	25	Krekorian,Mr.Neshan
3	0	H	45	Ekstrom,Mr.Johan
3	1	H	7	Touma,Master.GeorgesYoussef
3	1	M	5	Emanuel,Miss.VirginiaEthel
1	0	H	64	Nicholson,Mr.ArthurErnest
3	0	H	6	Palsson,Master.PaulFolke
3	0	H	26	Chronopoulos,Mr.Apostolos
1	1	H	38	Saalfeld,Mr.Adolphe
2	0	H	26	Montvila,Rev.Juozas
1	1	H	39	Omont,Mr.AlfredFernand
3	0	H	59	Coxon,Mr.Daniel
3	0	H	33	Nancarrow,Mr.WilliamHenry
2	1	M	29	Sinkkonen,Miss.Anna
1	1	M	35	Holverson,Mrs.AlexanderOskar(MaryAlineTowner)
3	0	H	7	Panula,Master.JuhaNiilo
2	1	H	23	Collett,Mr.SidneyCStuart
